	3128	1536	384
	3384	3840	448
	3384	3840	384
	2872	1536	384
	3384	1792	448
	2872	4096	448
	3384	3840	448
	3128	1792	384
	3384	1792	448
	3384	3840	384
	3384	1792	448
	2872	1536	384
	3384	3840	448
	3384	3840	448
	3384	3840	384
	3384	1792	384
	3384	3840	384
	3384	1792	448
	2872	1536	384
	2872	4096	384
	3384	1792	448
	3128	3584	384
	3384	1792	384
	2872	4096	384
	3384	3840	384
	2872	4096	384
	2872	1536	384
	3128	1536	384
	3384	3584	384
	3384	1792	384
	3384	1792	448
	2872	3840	384
	2872	3840	384
	3384	3840	384
	3384	3584	384
	3384	1792	448
	3384	1792	448
	2872	3584	448
	3384	1792	448
	3128	1536	384
	2872	3840	384
	3384	3840	448
	3384	3840	448
	3128	3840	448
	3384	3840	448
	2872	1536	448
	3384	3328	384
	3384	3840	384
	3128	3328	384
	3384	1792	448
	2872	3840	384
	3384	3840	384
	3384	3840	448
	3384	3328	384
	3384	3840	448
	3384	1792	448
	3128	4352	448
	2872	1536	384
	3384	3840	448
	3128	1536	384
	3384	1792	448
	3384	1792	448
	3384	3584	448
	3384	3840	384
	2872	1792	384
	3384	3328	448
	3384	3584	448
	2872	3584	448
	3384	1792	448
	3384	1792	448
	3384	3584	448
	3384	1792	448
	2872	1792	384
	3384	1792	448
	3128	1792	384
	3384	3328	384
	3384	3328	384
	2872	3584	448
	2872	3584	448
	2872	1536	384
	2872	1536	448
	3384	3584	448
	2872	1792	448
	3128	4352	448
	3384	1792	448
	3384	1792	448
	3384	1792	448
	2872	3584	384
	2872	3584	384
	2872	1536	384
	3128	3584	384
	3384	3328	384
	3384	3328	384
	2872	1536	384
	2872	3584	384
	2872	1536	384
	3384	3328	384
	2872	1536	384
	2872	3840	448
	3384	1792	448
	3128	3840	448
	3384	1792	448
	3128	1536	448
	3128	4096	384
	3384	3840	384
	2872	1536	384
	3384	1792	448
	3384	1792	448
	3384	1792	448
	3384	3072	384
	2872	1536	448
	2872	1536	448
	2872	1792	448
	3384	1792	448
	3384	3840	384
	2872	1536	384
	2872	4096	448
	3128	4096	448
	2872	4352	448
	2872	1536	384
	3128	3072	384
	3128	3840	448
	3128	1536	384
	3384	3840	384
	2872	4352	448
	2872	1536	448
	3384	1792	448
	3384	1792	384
	2872	1792	384
	3384	3840	448
	2872	1792	384
	3384	3584	384
	3384	1536	448
	3384	1792	448
	2872	1536	384
	2872	1536	384
	2872	3584	448
	3384	1792	448
	3384	1792	384
	2872	3584	448
	3384	3584	448
	3128	3072	384
	3384	3840	384
	3384	3840	384
	3128	1536	448
	3384	3584	448
	2872	1536	448
	3384	1792	448
	3384	3584	384
