18668	18034	32132
18421	18384	29709
18384	18124	28429
20940	43572	27206
18580	18290	32552
18807	18222	28946
18735	18037	26575
18574	18058	30514
18612	17982	120883
18621	18369	28682
18585	18322	29051
18597	18268	36746
18647	18121	27039
18364	18030	27029
18408	18221	27438
18289	18381	53901
18627	18023	31639
18377	18035	27056
18401	17960	31596
18778	18364	27711
18348	18278	34063
18604	18214	30970
18701	18075	30864
18871	18161	27032
18676	34059	29425
18567	18506	31186
18838	18501	30962
18872	18685	27800
18402	18302	26993
18672	18230	27679
18629	18021	27893
18857	18418	27711
53243	18020	27728
18821	18518	27801
18398	18378	33167
18882	18178	41399
18346	18281	27666
18538	18374	27752
18482	61657	27701
18613	18263	28049
18558	18214	39018
18308	18184	34664
18642	18399	30436
18433	18145	26325
18681	18100	31699
19564	19511	53863
19181	18504	33658
18451	18229	27781
21974	22438	31954
18855	18681	43825
18340	18038	32436
18627	18232	32825
18280	18381	27756
18411	18786	27314
18653	17965	29122
18647	18010	31297
18720	17974	42602
18667	18321	28569
18547	18334	28712
18584	18315	34977
18652	18245	37178
18720	18084	32939
18836	18174	28255
18426	18487	44934
18848	18298	32519
18434	18110	28117
18725	18528	32103
18407	18072	29346
18704	18225	32535
18236	18194	44596
18424	18000	27600
20000	20652	29363
18502	18179	28221
26359	36320	28101
19635	18447	43842
18575	34215	32304
18533	18343	34816
18432	18217	28368
18693	18364	31350
18484	17959	28449
18611	18137	216030
18408	18236	31419
18803	18259	29477
18575	18147	27483
21432	18409	32100
18574	17940	27339
18704	17994	26753
18898	18761	31062
30821	34937	26598
18432	18237	84949
18587	18237	33518
18372	18196	27926
18240	18194	31332
19372	18215	28114
18987	18154	31768
18276	18199	26633
45120	36688	27652
18622	17945	31493
18732	18286	27703
18409	18239	27113
18410	17886	41082
19386	18389	32274
18317	18077	31747
17989	17532	27907
18391	17885	30189
18092	17508	26819
18431	17888	10579878
18732	18412	29695
18478	18071	28546
18648	18225	26836
17974	26478	33235
18215	17681	31003
18674	17981	28118
18617	17931	28226
18420	18368	31361
18249	17735	29023
19677	18211	33059
18814	18315	28178
18074	17609	26857
18196	17574	31085
18223	17770	27903
18675	53022	33138
18437	17797	41197
17948	18407	17896	31919
