	11436	2077
	11339	1417
	11411	1487
	11376	1597
	33093	1452
	11397	1716
	11541	1672
	11411	1501
	11351	1410
	11565	2022
	11392	1456
	11384	1515
	11876	2154
	11348	1392
	11337	1525
	11453	1440
	11592	1725
	11364	1435
	13305	2460
	11635	1854
	11401	4537
	11530	1828
	21384	1420
	11392	1531
	11373	1838
	12025	3606
	11344	1730
	11348	1397
	11370	1538
	11345	1490
	11510	1612
	11501	1791
	11386	1605
	12441	3287
	12541	2917
	11342	1422
	11350	1624
	23646	1599
	11344	1587
	16767	3740
	15856	2193
	11382	1475
	25372	2974
	16607	4026
	11390	15631
	11370	2068
	11448	1545
	13412	3846
	11356	1857
	11362	2015
	11503	1537
	12096	3009
	11375	2024
	11389	1762
	11548	2003
	11384	1960
	11337	1506
	11448	2294
	11471	1527
	11348	1775
	11396	1494
	11375	1329
	23802	3570
	11367	1518
	12257	2292
	11374	1440
	11374	1557
	11355	1991
	12424	2432
	11330	1511
	11337	1173
	11485	1792
	11346	1501
	13114	4432
	11366	1500
	11355	1575
	11398	1794
	11489	1837
	14405	3081
	11415	1621
	11640	11695
	11355	1544
	11346	1670
	11753	2258
	11358	1594
	11374	1614
	11475	1668
	11462	1562
	11511	1915
	11344	1472
	38656	1452
	11464	1584
	12602	3094
	11378	1515
	11361	1554
	11401	2044
	11514	1485
	11406	1853
	14937	2409
	15069	2485
	13555	2981
	11274	1874
	13918	3157
	11346	1728
	11323	1495
	11237	1435
	11675	1485
	11334	1404
	11325	2182
	11915	1415
	22632	3584
	11451	2215
	11363	2490
	11285	1621
	16328	3342
	11735	1863
	11744	1580
	11886	1406
	11734	1857
	11261	1417
